"","GSM15785","GSM15786","GSM15787","GSM15788","GSM15789","GSM15790","GSM15791","GSM15792","GSM15794","GSM15795"
"200044_at",65.3058881745627,-33.9922837780527,-3.35719223956242,-56.8557922391366,-59.2061597996577,76.0109273894622,49.374702530395,-55.8516068332953,20.7366274037295,8.08803418633487
"200045_at",267.920945577791,-258.527068278729,-270.304325312037,-204.268630162458,-121.332314202152,-36.44436560876,153.891290632882,-500.730505307792,56.4994579721145,1.7231250150402
"200046_at",430.941349408144,-450.91665565728,-413.239948123249,-205.610516869099,-78.5994785608078,-206.337663555779,-129.160431645117,-61.8660477922298,80.9708619314532,16.9954976148957
"200047_s_at",239.532537078733,-177.86830554644,-172.93248255415,-101.004243030847,-104.139706836053,-45.5836454485424,-19.4132383788362,-101.074912494442,27.7365558596599,7.64744190879006
"200048_s_at",199.18777571891,-179.136057321176,-166.43050623145,-126.624170583588,-102.176257794153,3.3164325289192,82.7304912346314,-330.16512102883,25.8331794803183,26.3080762754339
"200049_at",399.153216114129,-365.706817541893,-376.605926761582,-204.623175704093,-84.7293119305925,-207.06503762562,-62.3090572837464,-180.523701066594,78.8125117928022,10.8521662255896
"200050_at",206.232767290054,-200.413452562152,-189.362634164125,-91.6815928102222,-95.0688313029833,-44.459080616589,6.09711490937948,-172.951134488669,35.2773271616784,25.8954729215954
"200051_at",358.077843513336,-337.795759279781,-316.917757117576,-155.892335585911,-89.266150898931,-187.347930915312,-86.4048993093505,-93.1115022636503,60.1586413871762,-6.56384555121909
"200052_s_at",468.738364850892,-450.963524514245,-407.100692457417,-166.95102269456,-84.0275014939871,-292.649680411623,-239.742904262533,149.673825693878,91.2717523634036,-2.99813713940803
"200053_at",305.599480864641,-291.282193178225,-258.224106512096,-78.7319316825501,-68.3227448577318,-210.496954059444,-184.853279219339,150.977191216551,88.9231280760439,4.8120352084158
"200054_at",675.725165674617,-699.477976915865,-672.190948613733,-327.410027100665,-146.199484084229,-462.014514287747,-173.193845009697,-225.294788770667,123.055147520328,-8.06193086126523
"200055_at",180.668164140983,-149.594144773827,-121.828739822166,-83.4184899716157,-75.0930682271349,-51.0933513367847,2.18059606032578,-105.909900684534,35.6395130881889,5.68397518303078
"200056_s_at",442.939642677883,-459.135232907333,-408.83445698558,-188.084768821248,-99.2035388783031,-281.901680127932,-183.060227056784,-13.4954141467629,59.1942053420584,0.784033502617906
"200057_s_at",289.276754282504,-227.454150007664,-181.269905656872,-105.917824294186,-50.438298341579,-107.785011066002,-119.067517381435,97.8888069416131,54.671581114334,10.8749242758304
"200058_s_at",256.647245560839,-246.520623607267,-211.735153548965,-107.304794477371,-62.6090959153569,-134.513645718042,-122.244001658082,44.5158434333725,72.6791860435513,2.80261174756841
"200059_s_at",211.962918295326,-183.060178138164,-153.246893343441,-85.4638312794625,-92.0437223200904,-28.3496703918591,1.60141250957925,-152.387744639672,58.6040661058752,16.4231482491967
